epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1245.24,1.19467,2.19665,1.54243,1.39771,0.59856,0.57657,0.59757,0.46425,0.63679,0.56597,0.59007,0.44283,1.34385,2.62293,1.84391,1.51136,0.000331439,0.000331439,0.000331439
2,2456,1.30412,2.3939,1.7148,1.48141,0.54814,0.54328,0.54559,0.39196,0.55783,0.53507,0.54208,0.38815,1.49365,2.68906,1.9876,1.61153,0.00059896,0.00059896,0.00059896
3,3659,1.3505,2.48703,1.76644,1.51216,0.55031,0.52068,0.52723,0.37904,0.53685,0.51432,0.51669,0.37349,1.48174,2.71811,1.98076,1.62208,0.000800481,0.000800481,0.000800481
4,4854.06,1.32129,2.43425,1.70695,1.49122,0.53822,0.54489,0.54411,0.4132,0.55553,0.54328,0.54222,0.39554,1.50566,2.78492,2.04249,1.63406,0.000703,0.000703,0.000703
5,6052.86,1.29673,2.38518,1.62686,1.46999,0.62252,0.5834,0.60443,0.47003,0.63617,0.58019,0.59812,0.44918,1.38815,2.62102,1.7972,1.54459,0.000604,0.000604,0.000604
6,7268.15,1.23714,2.26473,1.52865,1.4178,0.63241,0.58831,0.61527,0.47882,0.5882,0.60109,0.60621,0.46266,1.37644,2.52452,1.72137,1.52936,0.000505,0.000505,0.000505
7,8508.93,1.19207,2.18851,1.45203,1.38588,0.66496,0.58231,0.62742,0.47675,0.65895,0.58105,0.61891,0.46343,1.34798,2.50202,1.68778,1.51398,0.000406,0.000406,0.000406
8,9729.86,1.14875,2.10272,1.36649,1.34917,0.68669,0.60743,0.64747,0.50152,0.68867,0.60674,0.63886,0.48406,1.3133,2.42203,1.60514,1.47628,0.000307,0.000307,0.000307
9,10922.1,1.11088,2.01878,1.27891,1.32311,0.6514,0.64483,0.65406,0.50896,0.66329,0.63258,0.64923,0.49194,1.28312,2.35434,1.54844,1.441,0.000208,0.000208,0.000208
10,12131.7,1.07218,1.95996,1.21186,1.29469,0.7104,0.6361,0.67342,0.52983,0.71201,0.62807,0.66406,0.51143,1.25826,2.31149,1.50322,1.42031,0.000109,0.000109,0.000109
