epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1282.44,1.66104,3.54763,3.57515,1.80905,0.78665,0.2762,0.37262,0.25575,0.78226,0.27474,0.36757,0.246,1.74436,3.53973,3.24637,1.86723,0.000331439,0.000331439,0.000331439
2,2533.96,1.616,3.13114,2.87984,1.76876,0.45607,0.41586,0.43379,0.30824,0.47995,0.4175,0.42903,0.30508,1.64462,3.40557,2.71538,1.79236,0.00059896,0.00059896,0.00059896
3,3774.16,1.59902,3.05474,2.55337,1.73218,0.42316,0.36649,0.35642,0.24003,0.40865,0.35707,0.34978,0.22392,1.69766,3.28397,2.75397,1.8242,0.000800481,0.000800481,0.000800481
4,5006.49,1.53563,2.90113,2.31039,1.67596,0.48424,0.49983,0.47496,0.34477,0.4939,0.49879,0.46721,0.33691,1.60308,3.07716,2.34928,1.7366,0.000703,0.000703,0.000703
5,6250.59,1.47945,2.76679,2.12111,1.63226,0.53945,0.51533,0.51052,0.37397,0.53937,0.51254,0.5071,0.36311,1.53018,2.86511,2.23084,1.65995,0.000604,0.000604,0.000604
6,7492.72,1.40869,2.64086,1.98306,1.56752,0.72687,0.53027,0.55849,0.42285,0.72848,0.52742,0.55266,0.41319,1.47257,2.68196,2.06846,1.61928,0.000505,0.000505,0.000505
7,8751.14,1.34891,2.49944,1.84686,1.51447,0.65494,0.54103,0.57866,0.43286,0.6665,0.54379,0.57815,0.42958,1.42536,2.5797,1.91298,1.55981,0.000406,0.000406,0.000406
8,10070,1.29108,2.40217,1.73042,1.46876,0.63098,0.5913,0.60545,0.46905,0.6349,0.59284,0.60286,0.45397,1.35322,2.48471,1.84364,1.50509,0.000307,0.000307,0.000307
9,11359.1,1.22881,2.26967,1.61277,1.42168,0.61896,0.61447,0.62199,0.49037,0.62987,0.60805,0.61922,0.47606,1.29251,2.40457,1.73588,1.46178,0.000208,0.000208,0.000208
10,12628,1.18198,2.17589,1.50895,1.38982,0.65298,0.62139,0.6446,0.50814,0.64913,0.62396,0.6401,0.49105,1.28439,2.352,1.67878,1.44607,0.000109,0.000109,0.000109
