epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1256.47,0.9222,1.7266,0.94012,1.14938,0.66759,0.68436,0.69135,0.53958,0.6609,0.67826,0.67433,0.51342,1.27057,2.4466,1.42355,1.41539,0.000331439,0.000331439,0.000331439
2,2496.9,0.94916,1.79481,0.9741,1.15666,0.68445,0.64334,0.67035,0.52068,0.70022,0.64523,0.66685,0.49482,1.29373,2.53418,1.46377,1.43613,0.000631866,0.000631866,0.000631866
3,3744.26,1.00295,1.8597,1.06755,1.18806,0.63285,0.63476,0.65077,0.50413,0.64179,0.62171,0.6367,0.48064,1.3373,2.57684,1.53404,1.47292,0.000899294,0.000899294,0.000899294
4,5007.29,1.02826,1.90354,1.10635,1.20896,0.67056,0.64189,0.65763,0.49882,0.66947,0.63434,0.64445,0.48097,1.37103,2.57921,1.60463,1.50043,0.0008515,0.0008515,0.0008515
5,6258.82,1.00925,1.87763,1.07626,1.18791,0.66498,0.6419,0.65788,0.50073,0.63504,0.64961,0.6476,0.4847,1.36613,2.55594,1.5672,1.49384,0.000802,0.000802,0.000802
6,7511.9,1.00756,1.85595,1.07716,1.19947,0.65578,0.62353,0.65259,0.50398,0.65277,0.62288,0.64333,0.4887,1.33727,2.63405,1.52528,1.4735,0.0007525,0.0007525,0.0007525
7,8762.85,0.99199,1.85468,1.04063,1.19014,0.6509,0.65976,0.66268,0.51381,0.66863,0.6474,0.65985,0.49731,1.30845,2.45171,1.49702,1.4496,0.000703,0.000703,0.000703
8,10015.8,0.99435,1.8476,1.04096,1.18749,0.61413,0.68458,0.67001,0.51964,0.6213,0.67902,0.66579,0.5007,1.34656,2.46405,1.4643,1.47297,0.0006535,0.0006535,0.0006535
9,11265.5,0.96144,1.805,1.00301,1.17161,0.72033,0.62563,0.67567,0.51877,0.7286,0.62507,0.67053,0.50283,1.33698,2.46546,1.47765,1.46184,0.000604,0.000604,0.000604
10,12512.1,0.96283,1.77477,0.98682,1.16617,0.70082,0.67322,0.68286,0.52908,0.7083,0.67105,0.68123,0.50794,1.34178,2.49918,1.45054,1.47629,0.0005545,0.0005545,0.0005545
11,13711.1,0.99575,1.78002,0.97666,1.20964,0.71609,0.65855,0.68513,0.52563,0.71005,0.65271,0.67054,0.50424,1.30802,2.4235,1.42234,1.43593,0.000505,0.000505,0.000505
12,14935.3,0.94985,1.69492,0.88311,1.17711,0.68364,0.6802,0.69668,0.54675,0.69671,0.6618,0.69206,0.52342,1.2811,2.35506,1.36603,1.43279,0.0004555,0.0004555,0.0004555
13,16148.4,0.91946,1.63866,0.83339,1.15246,0.71185,0.65129,0.68403,0.53065,0.70273,0.65548,0.67773,0.50842,1.29146,2.43231,1.41756,1.44062,0.000406,0.000406,0.000406
14,17357.7,0.91465,1.61089,0.81651,1.14386,0.7174,0.67222,0.70319,0.54448,0.71371,0.66876,0.69433,0.52241,1.26976,2.39649,1.39033,1.41642,0.0003565,0.0003565,0.0003565
15,18561.9,0.89459,1.58471,0.78512,1.12351,0.72354,0.6849,0.7077,0.54589,0.7227,0.67972,0.69765,0.52208,1.27688,2.39036,1.35822,1.41967,0.000307,0.000307,0.000307
16,19767.4,0.87675,1.5694,0.76571,1.11848,0.70676,0.69701,0.70707,0.55296,0.72795,0.66208,0.69722,0.528,1.26194,2.38743,1.33641,1.41454,0.0002575,0.0002575,0.0002575
17,20968.7,0.86894,1.53833,0.746,1.11857,0.74928,0.68325,0.71379,0.56584,0.74956,0.67749,0.70839,0.54176,1.25783,2.38353,1.32955,1.41482,0.000208,0.000208,0.000208
18,22165,0.83265,1.51421,0.69995,1.09406,0.71313,0.69572,0.71093,0.56397,0.70822,0.69392,0.70383,0.53889,1.2522,2.35101,1.33548,1.41108,0.0001585,0.0001585,0.0001585
19,23358.4,0.82978,1.4911,0.69474,1.08529,0.70676,0.70758,0.71738,0.56672,0.71089,0.69642,0.70519,0.5399,1.24765,2.37422,1.3288,1.40055,0.000109,0.000109,0.000109
20,24554.3,0.82044,1.46949,0.67471,1.08556,0.73477,0.69155,0.7214,0.56996,0.73399,0.68789,0.70867,0.54473,1.24148,2.36178,1.31835,1.4004,5.95e-05,5.95e-05,5.95e-05
