epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1206.64,0.87026,1.55956,0.77192,1.12056,0.71477,0.6794,0.70721,0.55269,0.73439,0.67111,0.6972,0.52574,1.27098,2.45066,1.39704,1.41931,0.000331439,0.000331439,0.000331439
2,2391.59,0.95824,1.68884,0.90508,1.17775,0.7029,0.66125,0.68104,0.52949,0.70639,0.64865,0.6706,0.5105,1.32969,2.45805,1.4665,1.46871,0.00059896,0.00059896,0.00059896
3,3587.82,1.00743,1.81297,0.9942,1.21383,0.69208,0.64204,0.67583,0.52131,0.68623,0.6369,0.6645,0.50172,1.33741,2.54709,1.4956,1.45422,0.000800481,0.000800481,0.000800481
4,4777.4,1.00368,1.8086,0.99275,1.21177,0.63052,0.65594,0.65368,0.50551,0.62975,0.6557,0.64422,0.49155,1.38174,2.51254,1.55591,1.51925,0.000703,0.000703,0.000703
5,5960.23,0.99078,1.77605,0.9493,1.19921,0.72248,0.66121,0.68451,0.52548,0.71837,0.65335,0.67262,0.50896,1.31893,2.48413,1.45491,1.46018,0.000604,0.000604,0.000604
6,7146.24,0.96841,1.72536,0.90684,1.18376,0.70926,0.64682,0.68527,0.53061,0.70309,0.64747,0.67714,0.51538,1.30968,2.44378,1.44778,1.44764,0.000505,0.000505,0.000505
7,8338.02,0.94658,1.68983,0.85496,1.1653,0.71983,0.65576,0.69202,0.53955,0.70298,0.655,0.67423,0.51509,1.27951,2.46249,1.42213,1.43872,0.000406,0.000406,0.000406
8,9525.23,0.91943,1.6371,0.81052,1.14606,0.66328,0.69503,0.6983,0.54603,0.69069,0.67048,0.68567,0.52452,1.27786,2.42125,1.38298,1.42646,0.000307,0.000307,0.000307
9,10716.1,0.88248,1.57526,0.77006,1.12832,0.72282,0.69033,0.7081,0.55382,0.71627,0.68195,0.69507,0.53258,1.26374,2.39935,1.34012,1.41147,0.000208,0.000208,0.000208
10,11902.5,0.85379,1.52864,0.72218,1.10587,0.72545,0.69312,0.71245,0.55735,0.72976,0.68437,0.70291,0.53749,1.25505,2.39618,1.34285,1.41022,0.000109,0.000109,0.000109
