epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1302.9,1.17919,2.22032,1.54363,1.34182,0.67424,0.61061,0.63675,0.49081,0.66536,0.6026,0.62563,0.4698,1.33179,2.46033,1.66331,1.47391,0.000331439,0.000331439,0.000331439
2,2564.71,1.23019,2.35645,1.55913,1.3687,0.54469,0.57556,0.57173,0.43485,0.582,0.5563,0.5645,0.42098,1.42438,2.66537,1.83236,1.54016,0.000631866,0.000631866,0.000631866
3,3828.67,1.26891,2.42756,1.6338,1.39207,0.67228,0.5566,0.57668,0.43399,0.61692,0.55077,0.56161,0.42554,1.42507,2.71365,1.91101,1.57318,0.000899294,0.000899294,0.000899294
4,5091.52,1.27153,2.40929,1.63901,1.40117,0.6344,0.57868,0.58564,0.43377,0.63304,0.54774,0.57424,0.41529,1.49993,2.81661,1.98145,1.61419,0.0008515,0.0008515,0.0008515
5,6358.23,1.25031,2.36409,1.59396,1.37791,0.55515,0.57516,0.57031,0.43073,0.55259,0.56583,0.55871,0.40715,1.40617,2.72836,1.91194,1.5543,0.000802,0.000802,0.000802
6,7613.04,1.22168,2.30912,1.56268,1.36706,0.5941,0.55471,0.58042,0.43085,0.618,0.53479,0.56265,0.4179,1.48666,2.81054,1.84161,1.61366,0.0007525,0.0007525,0.0007525
7,8868.13,1.19816,2.28172,1.49783,1.34831,0.58406,0.61249,0.61786,0.48415,0.61079,0.61299,0.62113,0.45972,1.33664,2.51864,1.67342,1.47382,0.000703,0.000703,0.000703
8,10139.2,1.19116,2.26966,1.4683,1.33658,0.56842,0.63488,0.62983,0.48712,0.58345,0.62477,0.61753,0.46991,1.35406,2.49738,1.67002,1.48888,0.0006535,0.0006535,0.0006535
9,11402.3,1.14691,2.19934,1.42094,1.31227,0.62088,0.63527,0.63472,0.49052,0.64383,0.62808,0.63254,0.47755,1.31803,2.46426,1.6104,1.45563,0.000604,0.000604,0.000604
10,12660,1.14175,2.15821,1.38582,1.30312,0.63413,0.62978,0.64066,0.49711,0.65852,0.61782,0.63866,0.48123,1.3194,2.47927,1.5962,1.43703,0.0005545,0.0005545,0.0005545
11,13871,1.16964,2.13643,1.37044,1.34925,0.64208,0.63243,0.63856,0.4923,0.62252,0.63425,0.63425,0.47837,1.30413,2.41501,1.55531,1.44145,0.000505,0.000505,0.000505
12,15079.3,1.13809,2.06494,1.28248,1.33034,0.63644,0.64916,0.64862,0.50506,0.64559,0.62848,0.64204,0.48913,1.29554,2.36422,1.53063,1.4417,0.0004555,0.0004555,0.0004555
13,16288.6,1.09662,1.978,1.21587,1.30075,0.64038,0.66472,0.66451,0.52042,0.66301,0.6502,0.66337,0.50616,1.28058,2.34953,1.51518,1.43101,0.000406,0.000406,0.000406
14,17496.6,1.08038,1.94216,1.16898,1.27987,0.69699,0.64316,0.68326,0.53336,0.70061,0.63589,0.67352,0.51111,1.29232,2.31152,1.47586,1.42819,0.0003565,0.0003565,0.0003565
15,18709.8,1.06342,1.90479,1.12238,1.26376,0.64858,0.67631,0.68592,0.52871,0.67392,0.65314,0.68028,0.51296,1.29574,2.35588,1.48174,1.4429,0.000307,0.000307,0.000307
16,19919,1.03388,1.84768,1.09181,1.25444,0.71105,0.67452,0.69504,0.54464,0.71614,0.6544,0.68783,0.52359,1.24403,2.26856,1.4232,1.39501,0.0002575,0.0002575,0.0002575
17,21121.2,1.01146,1.81148,1.04602,1.24137,0.68956,0.68439,0.70185,0.55212,0.7027,0.65647,0.69119,0.52794,1.22504,2.28851,1.41494,1.39071,0.000208,0.000208,0.000208
18,22318.6,0.97472,1.77404,0.99638,1.21115,0.69761,0.67628,0.69915,0.54809,0.69941,0.66999,0.69273,0.52754,1.23987,2.29042,1.40117,1.39173,0.0001585,0.0001585,0.0001585
19,23530.1,0.9632,1.74013,0.95902,1.19662,0.71445,0.67346,0.70359,0.55784,0.71419,0.67216,0.69525,0.53361,1.2399,2.28207,1.39514,1.3933,0.000109,0.000109,0.000109
20,24730.5,0.95402,1.70879,0.93882,1.1979,0.70218,0.67957,0.70575,0.55865,0.73414,0.65584,0.69618,0.53444,1.23288,2.28893,1.39379,1.39204,5.95e-05,5.95e-05,5.95e-05
